VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO,PBI,Feriados,No_Laborables_Fuera_de_Feriado,Fines_de_Semana,Pandemia,CODIGO_PEAJE,ADMINIST,DEPARTAMENTO
2164.0,9858.999999999993,0.0,2925.0000000000005,2741.999999999999,742.0,288.99999999999994,4270.0,20.0,12023.0,387.8,10988.0,354.5,23011.0,742.3,2016.0,3.0,201603.0,153.818648000414,2.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2618.0,9471.000000000002,0.0,2858.0,2488.000000000001,645.0,296.00000000000006,4376.0,35.99999999999999,12089.0,403.0,10699.0,356.6,22788.0,759.6,2016.0,4.0,201604.0,156.410909432401,0.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2687.0000000000005,10266.000000000005,0.0,2867.999999999999,2748.999999999999,720.0000000000002,308.0000000000001,4717.999999999996,23.999999999999996,12953.0,417.8,11387.0,367.3,24340.0,785.2,2016.0,5.0,201605.0,157.567072625252,1.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2728.000000000001,10287.999999999993,0.0,2907.0,2718.0,697.0,370.9999999999999,4477.0,33.99999999999999,13016.0,433.9,11204.0,373.5,24220.0,807.3,2016.0,6.0,201606.0,155.999784793248,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2899.0000000000005,12515.99999999999,0.0,2975.9999999999995,3105.9999999999995,764.9999999999998,257.9999999999999,4051.9999999999986,20.0,15415.0,497.3,11177.0,360.5,26592.0,857.8,2016.0,7.0,201607.0,158.716530918806,2.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2581.414878557646,12124.999999999996,0.0,2897.999999999999,3055.000000000001,768.0000000000003,249.9999999999999,4533.999999999999,10.000000000000002,13194.0,425.6,11515.0,371.5,24709.0,797.1,2016.0,8.0,201608.0,158.029582145319,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2200.9999999999995,10388.000000000002,0.0,2750.0000000000005,2967.0000000000005,671.0,481.9999999999998,4527.000000000002,25.000000000000004,12589.0,419.6,11422.0,380.7,24011.0,800.4,2016.0,9.0,201609.0,158.709475032525,0.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2383.000000000001,10500.000000000005,0.0,2829.9999999999995,3126.999999999998,718.0000000000002,296.00000000000006,4432.000000000003,16.0,12883.0,415.6,11419.0,368.4,24302.0,783.9,2016.0,10.0,201610.0,158.941363854428,1.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2097.0,9819.0,0.0,2811.999999999999,2901.0000000000005,764.9999999999998,345.00000000000017,4286.000000000002,11.0,11916.0,397.2,11120.0,370.7,23036.0,767.9,2016.0,11.0,201611.0,158.591978445039,1.0,0.4,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2298.0,12346.000000000002,0.0,2845.999999999999,3122.999999999998,889.0,292.99999999999994,4633.000000000001,17.999999999999996,14644.0,472.4,11802.0,380.7,26446.0,853.1,2016.0,12.0,201612.0,175.993117904231,2.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
1996.0,12757.999999999998,0.0,2851.0000000000005,3079.9999999999995,928.9999999999997,258.99999999999994,4235.999999999999,8.000000000000002,14754.0,475.9,11363.0,366.5,26117.0,842.5,2017.0,1.0,201701.0,150.55456598191,1.0,1.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
